Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,27.467501,27.745001,27.049999,27.507500,25.688036,3557200
2017-01-04,27.652500,28.077499,27.652500,27.995001,26.143291,3548800
2017-01-05,27.907499,28.017500,27.615000,27.930000,26.082592,3352000
2017-01-06,28.002501,28.437500,27.764999,28.245001,26.376755,3386800
2017-01-09,28.132500,28.187500,27.947500,27.977501,26.126947,1995600
2017-01-10,27.975000,28.320000,27.792500,27.952499,26.103600,2475600
2017-01-11,27.920000,28.184999,27.637501,28.184999,26.320723,3181600
2017-01-12,27.975000,28.059999,27.392500,27.982500,26.131613,3253200
2017-01-13,28.052500,28.285000,28.030001,28.160000,26.297379,2795600
2017-01-17,27.875000,28.055000,27.697500,27.857500,26.014885,2405600
2017-01-18,27.959999,28.049999,27.732500,28.037500,26.182981,1934800
2017-01-19,28.075001,28.125000,27.540001,27.737499,25.902819,2534800
2017-01-20,28.004999,28.232500,27.775000,28.010000,26.157301,3196800
2017-01-23,27.879999,28.042500,27.477501,27.809999,25.970530,3571600
2017-01-24,27.885000,28.500000,27.842501,28.327499,26.453794,2754000
2017-01-25,28.732500,29.065001,28.670000,29.030001,27.109835,3774400
2017-01-26,29.000000,29.112499,28.857500,28.962500,27.046795,3257200
2017-01-27,28.997499,29.062500,28.750000,28.847500,26.939402,2080800
2017-01-30,28.525000,28.532499,27.867500,28.325001,26.451464,4163600
2017-01-31,28.077499,28.295000,27.830000,28.287500,26.416447,2991200
2017-02-01,28.552500,28.667500,28.062500,28.325001,26.451464,3903200
2017-02-02,28.155001,28.482500,28.007500,28.344999,26.470139,2627200
2017-02-03,28.735001,29.010000,28.612499,28.930000,27.016445,3748400
2017-02-06,28.757500,28.922501,28.639999,28.795000,26.890379,2288400
2017-02-07,28.955000,29.047501,28.697500,28.795000,26.890379,2212400
2017-02-08,28.652500,28.940001,28.549999,28.889999,26.979094,1586400
2017-02-09,29.012501,29.532499,28.995001,29.400000,27.455353,2447600
2017-02-10,29.559999,29.842501,29.522499,29.740000,27.772869,2306800
2017-02-13,29.977501,30.340000,29.965000,30.212500,28.214113,2523200
2017-02-14,30.155001,30.605000,29.990000,30.605000,28.580652,2172000
2017-02-15,30.500000,31.150000,30.475000,31.055000,29.000891,2554800
2017-02-16,31.067499,31.155001,30.650000,30.997499,28.947197,3195600
2017-02-17,30.674999,31.107500,30.667500,31.107500,29.049917,2228400
2017-02-21,31.297501,31.747499,31.285000,31.650000,29.556534,2732000
2017-02-22,31.487499,31.690001,31.412500,31.602501,29.512177,2665600
2017-02-23,31.850000,31.850000,31.302500,31.657499,29.563538,3489200
2017-02-24,31.232500,31.787500,31.227501,31.787500,29.684942,2390800
2017-02-27,31.735001,31.972500,31.602501,31.905001,29.794664,3122400
2017-02-28,31.732500,31.832500,31.437500,31.645000,29.551865,2719600
2017-03-01,32.415001,33.189999,32.412498,32.957500,30.777546,3872000
2017-03-02,32.882500,32.887501,32.325001,32.372501,30.231247,3061600
2017-03-03,32.312500,32.480000,32.127499,32.422501,30.277939,3098400
2017-03-06,32.020000,32.275002,31.830000,32.119999,29.995443,2941600
2017-03-07,31.969999,32.130001,31.725000,31.847500,29.740973,3066800
2017-03-08,31.957500,32.070000,31.575001,31.662500,29.568209,4086000
2017-03-09,31.690001,31.905001,31.307501,31.747499,29.647581,3416000
2017-03-10,32.207500,32.217499,31.652500,32.055000,29.934742,3942400
2017-03-13,32.055000,32.137501,31.900000,32.110001,29.986107,1491200
2017-03-14,31.865000,31.877501,31.465000,31.737499,29.638247,3264400
2017-03-15,32.025002,32.757500,31.910000,32.532501,30.380663,4504800
2017-03-16,32.654999,32.669998,32.224998,32.400002,30.256926,5068000
2017-03-17,32.517502,32.580002,32.212502,32.212502,30.081829,2408400
2017-03-20,32.185001,32.325001,31.915001,32.087502,29.965097,2757600
2017-03-21,32.375000,32.432499,30.799999,30.879999,28.837461,6515200
2017-03-22,30.875000,31.190001,30.584999,31.049999,28.996218,3771200
2017-03-23,30.962500,31.477501,30.799999,30.959999,28.912170,3348000
2017-03-24,31.112499,31.352501,30.542500,30.912500,28.867813,4364000
2017-03-27,30.115000,30.910000,30.000000,30.780001,28.744080,3237600
2017-03-28,30.655001,31.637501,30.620001,31.432501,29.353416,2798800
2017-03-29,31.334999,31.650000,31.217501,31.562500,29.474819,2466800
2017-03-30,31.512501,31.930000,31.442499,31.812500,29.708284,2553600
2017-03-31,31.667500,31.905001,31.580000,31.587500,29.498165,2183200
2017-04-03,31.650000,31.712500,30.865000,31.462500,29.381437,4154400
2017-04-04,31.285000,31.525000,31.127501,31.512501,29.428129,4488400
2017-04-05,31.792500,32.255001,31.122499,31.180000,29.117620,4515200
